directory,label_directory,image,classes
archive/trafic_data/train/images,archive/trafic_data/train/labels,Numan_--28-_jpg.rf.95f6e8a06dbed68692760a4e87f33f7d.jpg,"[5, 5, 5, 5, 11, 5, 10, 15, 5, 5, 1, 5, 10, 15, 10, 17, 19, 17, 17, 17, 17, 17, 17, 5, 4, 9, 19, 9, 19, 5, 19, 5, 5, 5, 15, 11, 5, 5, 5, 19, 9, 9, 9, 19, 5, 4, 4, 4, 4, 9, 19, 5, 9, 9, 17, 5, 17, 13, 13, 13, 15, 10, 17, 17, 9, 15, 5, 17, 9, 5, 5, 19, 9, 10]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Numan_-499-_jpg.rf.1998a3d6802b491a74e98de7315c5d2a.jpg,"[4, 13, 13, 17, 5, 19, 17]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Numan_-360-_jpg.rf.8e8c5cc9ad34731d8301a4b67263480f.jpg,"[9, 5, 11, 11, 10, 19, 11]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Navid_356_jpg.rf.db633d8f0f82ac0a190067d0cadeae8f.jpg,"[19, 5]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Navid_34_jpg.rf.f2627491fea57b4594370c2cb488e238.jpg,"[17, 5, 5, 11, 5, 13, 13, 17, 17, 13, 13, 13, 5, 17, 13, 13, 5, 17, 11, 5, 5, 4, 11, 4]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Pias--516-_jpg.rf.a5ea9c5fd627e2e8d819304fda461f24.jpg,[18]
archive/trafic_data/train/images,archive/trafic_data/train/labels,109_jpg.rf.ff9fc798c246110361741e5713844cdd.jpg,[13]
archive/trafic_data/train/images,archive/trafic_data/train/labels,Navid_549_jpg.rf.d060c5e6067278f281bb9d6c67afc75f.jpg,"[20, 20, 20, 5, 3, 10, 17, 5, 13]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Dipto_447_jpg.rf.260101f2f99dc53f5586ff28dfac2957.jpg,"[18, 4, 1, 1, 19]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Dipto_-156_jpg.rf.3b8c565df93e4e230c138a4064d0e212.jpg,"[5, 4, 18, 18, 18]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,175_jpg.rf.73fa5e5a8879be5441abfbc36113d58a.jpg,"[3, 10, 13, 13, 13, 15, 2, 11]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Numan_-269-_jpg.rf.8c88c48c86f0d3390e3ac3dc165ba6f3.jpg,"[18, 18, 18, 4, 4]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Numan_-235-_jpg.rf.58d9553bb27ed8e5a36449434b3659ad.jpg,"[18, 10, 18, 18, 4, 4]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Navid_360_jpg.rf.5788bb891f66f40fbd788708cf0b5451.jpg,"[7, 18, 18, 13]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Navid_627_JPG.rf.a2bfedc0dd8fc007b4cc2c18a089da9b.jpg,"[13, 5, 13, 4, 10, 13, 13, 13, 13, 17]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Dipto_605_jpg.rf.7eb1a3c95a66c12e60a2378f09bfd7f2.jpg,"[4, 18, 4]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Dipto_-147_jpg.rf.90db27926fb450a72ddfc871185de65b.jpg,"[18, 4]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Numan_-43-_jpg.rf.b97ce6d2b5b8cb716877259f2e6b42f9.jpg,"[5, 10, 9, 17, 4, 4, 5, 5, 5, 13, 13, 13]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Pias--506-_jpg.rf.b3160f32748debfad5056485a49cd29a.jpg,[4]
archive/trafic_data/valid/images,archive/trafic_data/valid/labels,Pias--222-_jpg.rf.95364ae2c136b28a27d570f76b4a6c88.jpg,"[11, 17, 13, 13, 13, 5, 5]"
archive/trafic_data/valid/images,archive/trafic_data/valid/labels,Pias--407-_jpg.rf.ed2b7fe618a64b4423419620ebbb5a8c.jpg,[4]
archive/trafic_data/train/images,archive/trafic_data/train/labels,Numan_-270-_jpg.rf.f1aab169fff54d6f9df1f6a561ec4dde.jpg,"[18, 18, 4, 4, 4, 18]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Dipto_462_jpg.rf.144f1596d3d807eac2896faacfe394b5.jpg,"[11, 4]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,169_jpg.rf.71ba2c943a012dd77a2a103c20726c77.jpg,"[13, 13, 13, 19, 18]"
archive/trafic_data/valid/images,archive/trafic_data/valid/labels,Pias--333-_jpg.rf.91f765c5a19f93d2d2619f73c9223e73.jpg,"[4, 4, 17, 4, 10]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Pias--474-_jpg.rf.62355b48dd5fb73338aaccb4600e2cca.jpg,"[18, 18]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Dipto_-326_jpg.rf.f7c9692ddef515074e7144dd0835d8f7.jpg,"[19, 18, 18]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Navid_71_jpg.rf.ef715e6a64478cb6189fffecc5ef5eb2.jpg,"[13, 4, 4, 4, 13, 13, 13, 13, 13, 20, 13, 10]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Numan_-419-_jpg.rf.0198497398f371eaeb6685939d1615c6.jpg,"[17, 17, 18, 10, 3, 17, 5]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,177_jpg.rf.3af11a23a98666d12acc66526b2e33ce.jpg,"[15, 2, 13, 13, 11]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Dipto_703_jpg.rf.57c82132b54b2d051c5bc3629afe296e.jpg,"[18, 18, 11]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Pias--108-_jpg.rf.1b9b05b65cf9fce178735933d5645932.jpg,"[10, 9, 10, 5, 5, 5, 5, 5, 5]"
archive/trafic_data/valid/images,archive/trafic_data/valid/labels,Pias--33-_jpg.rf.154efeb651752a1907020d3e396b1467.jpg,"[17, 10, 5, 15, 11]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Dipto_474_jpg.rf.5452202a4d1c025af03910ea8a41317e.jpg,"[4, 4, 4, 18, 18, 18]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Dipto_789_jpg.rf.fddbc574106d9e186fdfd6e2fc6f27af.jpg,"[5, 13, 13, 17, 15, 15]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Numan_-67-_jpg.rf.cd1b1b209801653acf60dccf64af0e2f.jpg,"[17, 4, 17, 5, 17, 10, 9, 10, 13, 13, 13, 10, 4, 9]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Numan_-122-_jpg.rf.8f536d74db0ea32635addd53d262854c.jpg,"[11, 11, 11, 19, 11, 11]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Dipto_-96_jpg.rf.cf72a9120ef8e40b90f6f635e0a0dfaf.jpg,"[10, 18, 18]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Navid_126_jpg.rf.7c0cc698db40d00d490b129971326a4d.jpg,"[18, 18, 4]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Dipto_823_jpg.rf.3dd5cad99acd4df2347a2398b65312c9.jpg,"[13, 5, 5, 5, 15, 15, 15, 15, 9, 9]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Navid_728_jpg.rf.4a4a2a1b03c22563b22a6bea009e23c2.jpg,"[17, 17, 5, 17, 3, 17, 10, 13, 13, 17, 10, 5, 13, 13, 17, 4]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Numan_-157-_jpg.rf.d765bd91e4a30cb78a8ab943c1815055.jpg,"[13, 13, 13, 13, 11, 4, 11, 11, 11, 13, 13]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Navid_43_jpg.rf.69f54fea7e691054baf7a30a36f03b68.jpg,"[13, 13, 4, 8, 11, 13, 13, 11, 4, 11, 19, 19]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Numan_-52-_jpg.rf.b087dfab3c92005facfde5264fb1976d.jpg,"[5, 17, 17, 17, 16, 9, 5, 13, 5, 5, 9, 13, 13, 16, 5, 15, 13, 13]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Asraf_36_jpg.rf.b37d93edc41737d875d08dc29f6c9e94.jpg,[4]
archive/trafic_data/train/images,archive/trafic_data/train/labels,Navid_538_jpg.rf.4dbf753e3cc2b1a22eeb7cba3cf6bae0.jpg,"[15, 15]"
archive/trafic_data/valid/images,archive/trafic_data/valid/labels,Pias--141-_jpg.rf.faba2aa0d33f0cf10d64d508652c2c3d.jpg,"[5, 5, 5, 5, 10, 10, 10]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Dipto_-209_jpg.rf.6f0174cfde78349be56c5b0ea222107c.jpg,"[2, 10]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Navid_72_jpg.rf.2959d8bdfd8c169459a193803a443656.jpg,"[4, 13, 13, 4, 13, 13, 13, 4, 4]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Dipto_495_jpg.rf.fd15ec559e56e1e8da2a9e4fbf6e084d.jpg,"[4, 4, 4, 18, 18]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Numan_-405-_jpg.rf.ab029f86edaaa59bb2df737815b55f43.jpg,"[17, 5, 4]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Pias--546-_jpg.rf.7e0d1c6368bac830ca0871408b57cac5.jpg,"[18, 18, 4]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Numan_-251-_jpg.rf.ed438a80e59a7b548a3038d65db9bef0.jpg,"[18, 5, 5]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Navid_248_jpg.rf.34cacb804f0f58bf9310bdc65d9b9881.jpg,"[10, 5, 5]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Navid_729_jpg.rf.f37975526e960a04fabf92e72c172fa1.jpg,"[4, 7, 17, 5, 13, 13, 17, 17, 5, 13, 13, 17]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Dipto_-316_jpg.rf.fedfbb43e3e1a5126ed1840f414f22ed.jpg,"[11, 18]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Navid_716_jpg.rf.45604ff5efcdd5a885dacf73396d483b.jpg,"[20, 10, 13, 17, 5]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Navid_795_jpg.rf.bf51c529f9c58c4861531f28f8dd6e85.jpg,"[17, 17, 10, 10, 20, 5, 13]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Dipto_435_jpg.rf.911957a0b93bf2afcab1eeb719de1621.jpg,[4]
archive/trafic_data/train/images,archive/trafic_data/train/labels,Numan_-102-_jpg.rf.f8de249fd199f0f84dc71c98a457bf39.jpg,"[13, 14, 10, 13, 13, 13, 13, 13, 13]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Navid_351_JPG.rf.85bb02746bddf904b381fb59c7aad8c6.jpg,"[15, 5, 10, 10, 5, 3, 13, 5, 11, 4, 4, 19, 3, 5]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Navid_188_jpg.rf.8d3b7942b108cc574944e858368de8bf.jpg,"[11, 18]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,223_jpg.rf.c4b2890d30eb66813415e5d7dc529e2b.jpg,"[15, 15, 5, 17, 5, 5, 17, 17, 5, 17, 11, 17, 17, 5, 5, 5, 17, 17, 5, 5, 4, 19, 4, 14, 10, 10, 10, 10, 10, 10, 10, 10]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Dipto_-249_jpg.rf.03a951c479159b5ae6db68f03e122c50.jpg,[5]
archive/trafic_data/train/images,archive/trafic_data/train/labels,Dipto_397_jpg.rf.f43ef074d4c7d54cf4f34d0f91677763.jpg,"[4, 18, 5, 4]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Dipto_-54_jpg.rf.dfe843ac07d432e767c9271cad804022.jpg,"[10, 15, 18, 5, 17, 10]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Navid_772_jpg.rf.c5685d3b1986efedc2f3df04df40025a.jpg,"[17, 10, 11, 17]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Pias--134-_jpg.rf.5812a93c806c3921dc11125b3a8fb457.jpg,"[5, 3, 3, 3, 19, 11, 5, 5, 5, 5, 5, 19]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Dipto_608_jpg.rf.09055a2793ea632e9ed3e24999504b74.jpg,[4]
archive/trafic_data/train/images,archive/trafic_data/train/labels,Dipto_-43_jpg.rf.628c7de4a50adb6fee8ddfc56f6e3d56.jpg,"[10, 10]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Numan_-164-_jpg.rf.045ec42a9cc2ffaed3316b2c5500db22.jpg,"[13, 17, 11, 10, 13]"
archive/trafic_data/valid/images,archive/trafic_data/valid/labels,Pias--238-_jpg.rf.3b92e6ad6af1c03fb926a7a2cbda9c26.jpg,[5]
archive/trafic_data/train/images,archive/trafic_data/train/labels,200_png.rf.054e44b617a4bfd3ca5e5ad5a120c05f.jpg,"[19, 10, 13, 4, 4]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Dipto_290_jpg.rf.52aef21144f95d5b3e9beb2b39885473.jpg,[10]
archive/trafic_data/train/images,archive/trafic_data/train/labels,Numan_-485-_jpg.rf.eb8bc7b0588ea644b8743ef6da62ee15.jpg,"[17, 17, 19, 13, 13, 13]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Dipto_-75_jpg.rf.6cb618f3e983b2a4ca8423b8aa7e6a21.jpg,"[18, 5]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,145_jpg.rf.b7892d4070d45ae0980f343268af6e90.jpg,"[10, 13, 10, 13, 18, 2, 2, 3]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Navid_796_jpg.rf.9c7cd8c400c7a3cf4c267ef094c2217b.jpg,"[20, 15, 13]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Pias--498-_jpg.rf.274b0eb8fa48e97d4d40ee29a39e7ca7.jpg,[18]
archive/trafic_data/train/images,archive/trafic_data/train/labels,Navid_552_jpg.rf.0cfd5aa688a0a30ccb266e9108e5ee17.jpg,"[5, 9, 13, 3, 13, 10, 13, 13, 10, 10, 17, 13, 13]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Dipto_840_jpg.rf.9ccd5f98812e493916976bed49d25cc3.jpg,"[5, 3, 13, 13, 17, 17, 4, 5]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Dipto_473_jpg.rf.ed2a273208239923effc408b28bbb0f1.jpg,[11]
archive/trafic_data/train/images,archive/trafic_data/train/labels,Dipto_-243_jpg.rf.5137d67d85633274a4b2bed753f45887.jpg,"[10, 10, 13, 2, 2, 10]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Dipto_-211_jpg.rf.472364500297419bb54e85ce3a1acd19.jpg,"[10, 10, 10, 10, 10, 2, 2, 2]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Navid_402_jpg.rf.610c0b19ebd1f8808061ff9b9fe4a696.jpg,"[15, 15, 15]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Navid_121_jpg.rf.e9810a2a25db4634aeeef75204cd786a.jpg,"[11, 11, 5, 5, 17, 10, 10]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Navid_701_jpg.rf.a28027d86d115ee71e9cbe030df3fa71.jpg,"[17, 17, 5, 4]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Navid_494_jpg.rf.9670255b311c8c6af2448a02220ef30f.jpg,"[19, 5, 10, 15, 13, 15]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Numan_-159-_jpg.rf.fc8992da5802d0666ab87d4a7924c478.jpg,"[13, 11, 11, 13, 4, 4, 11]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Navid_749_jpg.rf.6b761b063af7349fd1629d0cfd0b8028.jpg,"[10, 5, 3, 11, 13, 7, 10, 17, 13]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Numan_-75-_jpg.rf.d3a323ca7ead0fd9931c3ae6cc3ff0d1.jpg,"[13, 4, 10, 4, 13, 13, 13, 13, 13, 13, 11, 13]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Dipto_-123_jpg.rf.77cc62743a77d6645efd426174d534fa.jpg,"[18, 18, 18, 18]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Numan_-295-_JPG.rf.5c1ee0ec1b52304d5d71c8cca56b177a.jpg,"[5, 17, 10, 10]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Dipto_449_jpg.rf.d6e7592513cc17a9f5eac6ce4c0ea8ee.jpg,"[18, 4]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Navid_572_jpg.rf.0db33c278f1ac489628099ea797af6a1.jpg,"[13, 10, 5, 10, 10, 17, 17, 10, 11]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Numan_-476-_jpg.rf.c6a76031a4faa0fa3cb95d606097be79.jpg,"[5, 19, 10, 17]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Dipto_-318_jpg.rf.9452fc4c2d92403b22f0984e908739c3.jpg,"[18, 18]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Numan_-462-_jpg.rf.8739a8f55ea433ec83e3132f8418dd8a.jpg,"[17, 4, 11, 10, 10, 4]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Dipto_457_jpg.rf.2ed0191cf6aa022c57b960fcea956633.jpg,"[11, 4, 18]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Navid_474_jpg.rf.4483aa4d7ddb8f338701e81a10874e19.jpg,"[14, 10, 13, 5, 4, 13, 4, 4, 4, 13]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Dipto_601_jpg.rf.24f2a62645ae0906e11db508745ba876.jpg,[4]
archive/trafic_data/train/images,archive/trafic_data/train/labels,Navid_574_jpg.rf.ce9bc386999eab93e8e44ca596dbe415.jpg,"[5, 10, 5, 10, 17, 17, 5, 11]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Navid_260_jpg.rf.a0de8a869835423ba49716b99c7fb707.jpg,"[5, 15, 5, 10, 17, 10, 19, 17, 5]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Dipto_493_jpg.rf.2285e4a2400eb669c8acb70073390103.jpg,"[4, 18, 18, 4]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Numan_-305-_JPG.rf.93f3f58247fad058d8ad04f724f0df86.jpg,"[5, 5, 5, 5, 5, 10, 5, 17, 3, 10, 4, 11, 10, 4, 5, 4]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Numan_-287-_jpg.rf.ae6fa6333439a572c057e6ee0fc20303.jpg,"[18, 18, 18, 4]"
archive/trafic_data/valid/images,archive/trafic_data/valid/labels,Pias--303-_jpg.rf.2e686017b4c0f2f902f51d7f05695bcf.jpg,"[9, 5, 5, 5, 5, 10, 3, 20, 13, 4, 4, 11, 11, 11, 4]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Dipto_786_jpg.rf.6fa61b257a6191a1bd6a2f21f8a76381.jpg,"[13, 13, 13, 5, 17, 9, 17]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Navid_349_jpg.rf.34e54198ed195446dc02f1ff679e7a1f.jpg,"[17, 11]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Numan_-60-_jpg.rf.8d3000001b214477ba1044be3a66d1b5.jpg,"[5, 16, 17, 13, 13, 13, 4]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Pias--485-_jpg.rf.e2b76f64264b437df9a50aaabcd6d0e1.jpg,"[4, 18, 18]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Dipto_467_jpg.rf.988ee7c3a9b75aa89b8cde7a03a8c9e6.jpg,"[4, 5]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Dipto_-324_jpg.rf.baaad61191e2d906e0e3e28b2f9678cb.jpg,[4]
archive/trafic_data/valid/images,archive/trafic_data/valid/labels,Pias--180-_jpg.rf.8dddf9e30d808145dcbf0f617471b6ce.jpg,"[9, 4, 5, 5, 5, 5, 5, 5, 10, 4, 11, 10]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Asraf_17_jpg.rf.041ddbe382e6878fad7eb51eadb82b27.jpg,"[17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 4, 19, 19, 17, 13, 13, 11, 17, 5, 19]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Numan_-451-_jpg.rf.e5819a903f8c8ef96d01de747f36d5c4.jpg,"[5, 10, 3, 5, 5, 9]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,229_jpg.rf.39cbad83e2491b98815ebe0d5b3b0bff.jpg,"[17, 17, 17, 17, 5, 4, 5, 9, 9, 19, 5, 11, 5, 5, 10, 17, 5, 9, 17, 4, 5, 10]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Pias--530-_jpg.rf.f98ae699c61446d0b39f9681adbdd3e3.jpg,[18]
archive/trafic_data/train/images,archive/trafic_data/train/labels,Navid_04_jpg.rf.f0f82ae7984da240e776929c0bd646a9.jpg,"[15, 15, 5, 17, 17, 17, 9, 5, 5, 5, 13, 19, 17]"
archive/trafic_data/valid/images,archive/trafic_data/valid/labels,Pias--39-_jpg.rf.1a7d31bc5ebb3e71bf9bb50ed2591127.jpg,"[10, 5, 10, 11, 5, 5, 5, 17, 4]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Numan_-238-_jpg.rf.64b2c8bae287083e098ab6f3c590ccd7.jpg,"[18, 4, 4]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,163_jpg.rf.924ce8327dedd5bcbf91cf64536a1f27.jpg,"[10, 13, 13, 13, 2, 10, 2, 2, 3]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Navid_131_jpg.rf.e1422da65c48b19e628cd124836a4494.jpg,"[18, 18, 4]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Navid_180_jpg.rf.d9639eac9aec576332df0de8fda5f97d.jpg,"[11, 4, 18]"
archive/trafic_data/valid/images,archive/trafic_data/valid/labels,Pias--192-_jpg.rf.0b31fc53a91a942dc32e822731751d4b.jpg,"[5, 16, 5, 3, 5, 5, 4, 10]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Navid_197_jpg.rf.d680312180cab8a19ec120f355726d74.jpg,"[5, 5, 4, 5, 5, 5, 9, 4, 15]"
archive/trafic_data/valid/images,archive/trafic_data/valid/labels,Pias--15-_jpg.rf.eea1cc9745ad9df421e41261537b8851.jpg,"[5, 3, 5, 5, 11, 5, 5, 11, 4]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Navid_797_jpg.rf.35b740cc246e681250e6cd2c64d9708b.jpg,"[13, 17, 4, 0, 20]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Navid_201_jpg.rf.c3b30c54fc11f057e813168cff8dd29e.jpg,"[5, 5, 10, 17, 10, 4, 19, 3, 5, 17, 10, 4, 5, 5, 10, 11, 5, 10, 13, 17, 4, 4]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Navid_370_jpg.rf.9f40e61a27fae5e897d8e31a75eb9be1.jpg,"[5, 18, 18, 4, 9]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Dipto_23_jpg.rf.32f87cd9735396537f935c3ac1d8ed36.jpg,"[18, 7, 11]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Navid_218_jpg.rf.f2e6a7f3044ce4109ccc64fdd3648bef.jpg,"[13, 17, 17, 10, 17, 5]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Dipto_-193_jpg.rf.38893afe967bcda2968df250f2624c60.jpg,"[10, 11, 17]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Numan_-172-_jpg.rf.7212b176cbd6b26fd2fb7de8720b4091.jpg,"[13, 13, 13, 13, 13, 13, 13]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Dipto_411_jpg.rf.fcf6aae51f86f0fd172058f1373f4f86.jpg,"[18, 4]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Numan_-210-_jpg.rf.e32302697a61b3713b300c1ff51f7a14.jpg,"[18, 4, 18, 18, 18, 19]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Dipto_831_jpg.rf.39eaca77c72906f75c08616c30bb0332.jpg,"[5, 5, 5, 10, 5, 15, 11, 17]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Numan_-366-_jpg.rf.4b4008bd4ad1a3efbc68c1227867a005.jpg,"[17, 10, 5, 5, 9, 15, 10, 3, 12, 15, 5]"
